Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28018,20/08/2012,Saline Breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Worldwide LLC,119647,"Prosthesis, internal, mammary, inflatable"
28019,28/11/2012,Siltex Saline Round Breast Implant with Diaphragm Valve 250CC,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
29539,7/12/2012,Salt Cartridge- SelectCart,Baxter Healthcare Pty Ltd,Gambro Lundia AB,201277,Sodium carbonate haemodialysis system cleaning cartridge
30118,21/02/2013,Orthopaedic Salvage System tibial poly bearing 14MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,Tibial components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
24897,27/03/2013,Siltex Saline Mammary Prostheses with Diaphragm Valve,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
31585,26/07/2013,HerbalPackOz,Marketing Sales Pty Ltd,Marketing Sales Pty Ltd,195629,"Compress, hot/cold pack, reusable"
25057,31/07/2013,Smooth Saline Mammary Prostheses with Diaphragm Valve,Johnson & Johnson Medical Pty Ltd,Mentor,119646,"Prosthesis, internal, mammary, inflatable"
25904,11/09/2013,Siltex Saline Mod. 300cc,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
26721,10/10/2013,Saline Implant,Johnson & Johnson Medical Pty Ltd,Mentor,119646,"Prosthesis, internal, mammary, inflatable"
32439,28/10/2013,Mentor Breast Implant (Saline),Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
26749,31/10/2013,Breast Implant - Saline,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
26752,4/11/2013,Breast Impant - Saline,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
26753,4/11/2013,Saline Breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
32527,8/11/2013,"McGhan Breast Implants, 310cc saline breast implants",Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32795,6/12/2013,Balanced Salt Solution,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,106599,"IIrrigation fluid, medical/surgical procedure"
32794,6/12/2013,Balanced Salt Solution,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,106599,"Irrigation fluid, medical/surgical procedure"
,,Adrenaline,-,n/k,,-
,,Betadine,-,n/k,,-
,,BSS (15ml) Irrigation,-,n/k,,-
,,BSS (500ml) with Adrenaline 1;1000. (1/2 ml adrenaline),-,n/k,,-
,,Cephazolin (intra Camal injection),-,n/k,,-
,,Cephazolin (intra Camal injection) (1mg = 0.1ml),-,n/k,,-
,,Chlorsig ointment,-,n/k,,-
,,Cyclopentolate,-,n/k,,-
,,Duovisc,-,n/k,,-
,,Phenylephrine,-,n/k,,-
27168,20/12/2013,Siltex implant,Johnson & Johnson Medical Pty Ltd,Mentor Medical Systems BV,152230,"Prosthesis, mammary, internal, gel/saline-filled, inflatable"
27178,21/01/2014,Sal Siltex Rnd Diap 250cc Valv breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
33011,5/02/2014,Nagor Mammary Implants Saline-fill Textured,Adirel Consolidated Pty Ltd T/A Surgiplas Medical,Nagor Ltd,142862,"Prosthesis, internal, mammary, inflatable"
27214,13/02/2014,Sal Siltex Rnd Diap Pkg 200cc Valv breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
,,"prothesis, internal, mammary, inflatable",Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
33268,12/03/2014,Nagor Mammary Implants Saline-fill Textured,Adirel Consolidated Pty Ltd T/A Surgiplas Medical,Nagor Ltd,142862,"Prosthesis, internal, mammary, inflatable"
33269,12/03/2014,Nagor Mammary Implants Saline-fill Textured,Adirel Consolidated Pty Ltd T/A Surgiplas Medical,Nagor Ltd,142862,"Prosthesis, internal, mammary, inflatable"
27148,21/03/2014,Sal Siltex Rnd breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27231,27/03/2014,SAL SILTEX RND DIAP PKG 300CC VALV,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27246,28/03/2014,High Profile Saline 230cc,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119646,"Prosthesis, internal, mammary, inflatable"
,,"High Profile Saline 230cc, Smooth Saline Mammary Prostheses with Diaphragm Valve - Prosthesis, internal, mammary, inflatable",Johnson & Johnson Medical Pty Ltd,Mentor,119646,"Prosthesis, internal, mammary, inflatable"
27242,28/03/2014,Sal Siltex Rnd Diap Pkg 275cc breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27238,28/03/2014,Sal Smooth Round Diap Valv 325cc breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119646,"Prosthesis, internal, mammary, inflatable"
34099,5/05/2014,Dime tap saline nasal drops for infants,Pfizer Aust Pty Ltd,PSM Healthcare Limited trading as API Consumer Brands,167019,"Irrigation fluid, nasal"
27507,9/08/2014,Sal Smooth Rnd Diap Valv 300cc,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119646,"Prosthesis, internal, mammary, inflatable"
30316,14/08/2014,Sal Siltex Rnd Diap 250cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, gel filled"
30624,24/09/2014,SAL SILTEX RND DIAP 300CC VALV,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
28695,13/11/2014,Sm MPPS DV 300cc Smooth Mod+ Profile S,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119646,"Prosthesis, internal, mammary, inflatable"
,,"Sm MPPS DV 300cc Smooth Mod+ Profile S, Smooth Saline Mammary Prostheses with Diaphragm Valve - Prosthesis, internal, mammary, inflatable",Johnson & Johnson Medical Pty Ltd,Mentor,119646,"Prosthesis, internal, mammary, inflatable"
28984,19/11/2014,Sal Smooth Rnd Diap Valv 250 cc,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119646,"Prosthesis, internal, mammary, inflatable"
32524,27/11/2014,Sal Siltex Rnd Diap 250cc Valv breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
28417,27/12/2014,Sal Siltex Rnd Diap 200cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
29426,27/12/2014,Sal Siltex Rnd Diap 200cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
31124,27/12/2014,Sal Siltex Rnd Diap 200cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27458,27/12/2014,Sal Siltex Rnd Diap 225cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27468,27/12/2014,Sal Siltex Rnd Diap 250cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
,,"Sal Siltex Rnd Diap 250cc Valv - Siltex Saline Mammary Prostheses with Diaphragm Valve - Prosthesis, internal, mammary, inflatable",Johnson & Johnson Medical Pty Ltd,Mentor,119647,"Prosthesis, internal, mammary, inflatable"
27547,27/12/2014,Sal Siltex Rnd Diap 250cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
27862,27/12/2014,Sal Siltex Rnd Diap 250cc Valv,Johnson & Johnson Medical Pty Ltd,Mentor Texas,119647,"Prosthesis, internal, mammary, inflatable"
