Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27195,2/07/2012,ALTRUA 40 DDDR-EL Dual Chamber Extended Longevity IS-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158085,"Pacemaker, cardiac, implantable"
,,Dextrus lead,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
26318,4/07/2012,PT2 Coronary Guide Wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,118249,Catheter guide wire
27284,6/07/2012,Contak Renewal TR 2 Bi-ventricular Pacemaker LV-1,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101573,"Pacemaker, cardiac, implantable"
26818,10/07/2012,INSIGNIA,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,131143,"Pacemaker, cardiac, implantable"
26939,10/07/2012,Zero Tip Nitinol Stone Retrieval Basket,Boston Scientific Pty Ltd,Boston Scientific Corporation,104320,"Extractor, stone removal"
27070,12/07/2012,Express™ Vascular SD,Boston Scientific Pty Ltd,Boston Scientific Corporation,159292,"Prosthesis, internal, stent, vascular"
26484,16/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27008,17/07/2012,COGNIS HE IS-1/DF-1/IS-1 Bi-Ventricular ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154033,"Defibrillator, implantable, automatic, dual-chamber"
27407,17/07/2012,FLEXTEND,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,129949,"Lead, defibrillator/pacemaker, implantable"
27383,17/07/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27408,18/07/2012,Voyager NC Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,160365,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
,,TREK Inflation Device,-,Abbott Vascular,,-
,,Whisper guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,198622,Catheter guide wire
27416,19/07/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
,,Balance MiddleWeight Guide wire,-,Abbott Vascular,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27456,23/07/2012,ENDOTAK RELIANCE,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
,,INCEPTA DR Dual-Chamber ICD,Boston Scientific Pty Ltd,Boston Scientific Corporation,192551,"Defibrillator, implantable, automatic, dual-chamber"
27071,24/07/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27475,24/07/2012,SELUTE Picotip Atrial J,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
27485,24/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27213,25/07/2012,INSIGNIA I Ultra DDDRO Dual Chamber IS-1 Comp,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101793,"Pacemaker, cardiac, implantable"
27505,25/07/2012,TELIGEN IS-4 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
27009,25/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27156,27/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27544,27/07/2012,RELIANCE G Passive Dual Coil 64cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,116534,"Lead, defibrillator/pacemaker, implantable"
27605,30/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27626,31/07/2012,ENDOTAK RELIANCE G 4-Site,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
