Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27448,24/07/2012,"Exceed Shell, C2A liner C2A head",Zimmer Pty Ltd,Biomet UK Ltd,108359,Acetabulum prosthesis
,,Taperloc fermoral stem,Zimmer Pty Ltd,Biomet UK Ltd,108360,"Prosthesis, internal, joint, hip, femoral component"
27446,24/07/2012,Mallory Head acetabular shell 54MM porous coated,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biomet Cr/Cblt modular femoral head,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,Mallory Head femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
27929,14/08/2012,Regenerex/ Ringloc multi+ shell 54MM sz 23,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,PLR femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
28008,15/08/2012,GORE DrySeal Sheath,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,127320,"Catheter introducer, haemostasis valve"
,,GORE TAG Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
27973,16/08/2012,Performer Introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
,,Lunderquist Stiff Wire,-,Cook Incorporated,,-
,,Zenith Fenestrated Endovascular Graft,-,William A Cook Australia Pty Ltd,,-
28086,22/08/2012,Flexcath Steerable Sheath,Medtronic Australasia Pty Ltd,Medtronic CryoCath LP,165591,"Catheter introducer, haemostasis valve"
,,Arctic Front Cryoablation Catheter,Medtronic Australasia Pty Ltd,Medtronic CryoCath LP,165575,"Catheter, cardiac, ablation"
28196,28/08/2012,POLARCUP SHELL,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics AG,147473,Acetabulum prosthesis
27767,25/09/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
27908,25/09/2012,Harmonic Focus curved shears,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28525,5/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28526,5/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
27937,15/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28900,16/10/2012,Mallory Head solid shell W/HA 54MM,Zimmer Pty Ltd,Biomet UK Ltd,108359,Acetabulum prosthesis
,,Taperloc fermoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
28930,18/10/2012,"Swartz Braided Transseptal Guiding Intro., 8F, SL1",Abbott Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
,,BRK-1 Transseptal Needle,St Jude Medical Australia Pty Ltd,St Jude Medical,149244,"Needle, catheter"
,,SL1 introducer,St Jude Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
28959,22/10/2012,Resectoscope Sheath with obtruator 27Fr,Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,149060,"Endoscope accessory, evacuator, resectoscope"
