Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
29865,7/02/2013,FLEXI-SEAL SIGNAL FMS (1X1PK) US,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal incontinence kit
30443,26/03/2013,Vital Signs Monitor 5300 series with power pack model 713254,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
31553,24/07/2013,"Breathing Circuit, VesaMed",CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
31636,31/07/2013,Breathing Circuit for VesaMed Ventilator,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
32781,4/12/2013,Limbo Circuit GE Medical Systems,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,167657,"Breathing circuit, anaesthesia, single use"
32948,22/04/2014,Vital Signs Monitor 5300 series,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
34260,27/02/2015,Logical Ceramic Liner,Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
36175,17/03/2015,Signature Guides,Zimmer Pty Ltd,Biomet Orthopedics Inc,183241,"Orthopaedic prosthesis implantation instrument, re"
36911,31/03/2015,Vital Signs Monitor 5300 series,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
33856,13/04/2015,LIMBO CIRCUIT,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,167657,"Breathing circuit, anaesthesia, single use"
37574,5/06/2015,Spine Innovations Signature (Loan set),Signature Orthopaedics Pty Ltd,Signature Orthopaedics Pty Ltd,174588,"Surgical procedure kit, orthopaedic, reusable"
37678,17/06/2015,Flexiseal Signal Faecal Management system,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal incontinence kit
37053,15/09/2015,Fluid warming cartridge for enFlow blood warming device,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,232830,Conduction blood/fluid warmer
35199,22/09/2015,Flexi-seal Signal FMS Faecal Incontinence Kit,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal Incontinence Kit
37725,23/09/2015,Flexi-seal Signal FMS,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal incontinence kit
35201,23/09/2015,Flexi-seal Signal FMS Faecal Incontinence Kit,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal Incontinence Kit
36550,23/09/2015,FLEXI-SEAL SIGNAL FMS Faecal incontinence kit,ConvaTec Australia Pty Ltd,ConvaTec Limited,163198,Faecal incontinence kit
36844,25/07/2016,FLEXI-SEAL SIGNAL Fecal Management System,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal incontinence kit
42104,26/07/2016,Hemochron Signature Elite - Whole Blood Microcoagulation System for monitoring,Zoll Medical Australia Pty Ltd,Accriva dba International Technidyne Corporation ITC,262295,General coagulation IVDs
