Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
25911,9/11/2012,Sigma Modular CoCr Tibial Tray Size 5,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
,,"Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138289,"Prosthesis, knee, internal, insert component"
28314,12/11/2012,PFC SIGMA CS INS,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138289,"Prosthesis, knee, internal, insert component"
29196,7/12/2012,PFC SIGMA C/R NPOR FEM LT SZ5,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
29865,7/02/2013,FLEXI-SEAL SIGNAL FMS (1X1PK) US,ConvaTec Australia Pty Ltd,Convatec Limited,163198,Faecal incontinence kit
30443,26/03/2013,Vital Signs Monitor 5300 series with power pack model 713254,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
25908,23/07/2013,Sigma Tibial Tray Size 3,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
,,Sigma Stabilized insert sz3 12.5mm,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138289,"Prosthesis, knee, internal, insert component"
31553,24/07/2013,"Breathing Circuit, VesaMed",CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
31636,31/07/2013,Breathing Circuit for VesaMed Ventilator,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
25996,16/08/2013,PFC SIGMA C/R SZ2.5 TEX FEM RGT,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
,,"PFC Sigma CVD Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138289,"Prosthesis, knee, internal, insert component"
,,"PFC Sigma Patella 38mm STD Oval - Prosthesis, internal, joint, knee, patellar component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,108414,"Prosthesis, internal, joint, knee, patellar component"
,,"PFC Tibia CK Cement - Prosthesis, internal, joint, knee, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
26141,20/08/2013,PFC SIGMA TC3 FEMUR,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
