Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29016,23/11/2012,Siroclave S,Dentsply Sirona Pty Ltd,Sirona Dental Systems,197032,"Sterilizer, moist heat, wrapped goods"
30874,14/05/2013,Sirona,Dentsply Sirona Pty Ltd,Sirona Dental Systems,124263,"Scaler system, periodontic, ultrasonic"
34679,22/07/2014,Proxima Sirus Gown Non-reinforced XL,Medline International Two Australia Pty Ltd,Medline Industries Inc,120558,"Gown, operating room, single use"
35541,28/11/2014,Sirius Stem 34B,Zimmer Pty Ltd,Biomet Orthopedic Inc,223604,"Uncoated hip femur prosthesis, modular"
,,Delta Ceramic Head,-,N/K,,-
,,RingLoc Liner,-,N/K,,-
36294,12/01/2015,Wound drain 10FG,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
37426,20/05/2015,Bellovac FG14 Wound drainage kit,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
38962,16/10/2015,"Bellovac Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
39547,14/12/2015,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-"
39593,11/01/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-"
39359,18/01/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-"
39797,29/01/2016,"Sirius 2U Rasp - Surgical procedure kit, general-p",Zimmer Pty Ltd,Biomet France,215135,"Surgical procedure kit, general-purpose, single-us"
40195,22/02/2016,Dentsply AutoMatrix Shielded side cutting pliers,Dentsply Sirona Pty Ltd,Dentsply Caulk,115262,"Pliers, orthodontic"
40635,2/05/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-"
40733,5/05/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-"
41883,27/07/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
41957,5/08/2016,"Orsiro Sirolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, biodegradable-polymer-coated",Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
41882,12/08/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
42492,10/10/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,BIOTRONIK AG,220414,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
,,Ballance wire,-,Abbott,,-
42935,20/10/2016,Orsiro Sirolimus Eluting Coronary Stent System,Biotronik Australia Pty Ltd,Biotronik AG,220414,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
,,Finecross MG,-,Terumo,,-
,,Giudezilla,-,Boston Scientific,,-
,,Launcher 6F AR2.0,-,Medtronic,,-
,,Launcher 6F JR4.0,-,Medtronic,,-
,,"Luge 0.014""",-,Boston Scientific,,-
