Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29791,26/12/2012,Heartstart SLA Battery,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
30116,25/03/2013,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
27887,6/03/2014,SLAP HAMMER M6/M10 ADAPTATOR,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,DEPUY INTERNATIONAL,135878,"Hammer, (specify)"
31387,17/07/2014,HeartStart SLA Battery,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
31663,15/08/2014,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
26610,20/11/2014,Slap Hammer Pin Extractor,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Medos International Sarl,178470,"Extractor, (specify)"
34419,9/07/2015,SLAP HAMMER M6/M10 ADAPTATOR,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,135878,"Hammer, (specify)"
40437,17/03/2016,HeartStart XL (HeartStart SLA Battery) - Rechargeable professional automated external defib,Philips Electronics Australia Ltd,Philips Medical Systems,261352,Rechargeable professional automated external defib
52512,13/08/2018,Grand Slam - Catheter guide wire,Bio-Excel (Australia) Pty Ltd,Asahi Intecc Co Ltd Medical Division,149056,Catheter guide wire
57305,4/07/2019,FEMORL COMP EXTRCTR W/ SLAP HAMMER,Device Technologies Australia Pty Ltd,Innomed Inc,96351,"Extractor, (specify)"
59439,13/09/2019,Slade Health MobiFUSER,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
59442,13/09/2019,Slade Health MobiFUSER - Elastomeric infusion pump system,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
59443,13/09/2019,Slade Health MobiFUSER - Elastomeric infusion pump system,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
59448,13/09/2019,Slade Health MobiFUSER - Elastomeric infusion pump system,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
59449,13/09/2019,Slade Health MobiFUSER - Elastomeric infusion pump system,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
