Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28191,27/08/2012,Sorrento,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
28795,28/09/2012,Sorrento,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
28796,28/09/2012,Sorrento,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
28791,2/10/2012,Sorrento,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
29057,1/10/2013,"Reply DR - Pacemaker, cardiac, implantable",LivaNova Australia Pty Ltd,Sorin Biomedica Cardio SRL,152879,"Pacemaker, cardiac, implantable"
32454,1/11/2013,Sorrento Tilt Mental Health Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
32683,20/12/2013,Sorrento Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
33015,3/01/2014,Sorrento Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
28624,8/01/2014,Compeed Total Care Cold Sore Patch,Johnson & Johnson Pacific Pty Ltd,Johnson & Johnson Sante Beaute France SAS,123399,"Dressing, hydrogel"
34211,16/05/2014,Sorrento,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
35034,26/08/2014,Sorrento Tilt Mental Health Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
36458,6/02/2015,Sorrento Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
35330,2/04/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc,150041,"Graft, Cardiac Valve"
36991,7/04/2015,Sorrento Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
35942,18/06/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
36934,18/06/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
38066,23/07/2015,Sorrento bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
39412,27/11/2015,"5 way low sorb multi ext set (Multi-flow Transfer Set) - Tubing extension set, intravenous administration",ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
39869,14/01/2016,"Sorrento bed - Bed, general-purpose, electrical",Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
41034,2/05/2016,LivaNova 3T Heater Cooler (previously Sorin) - Heater cooler units (2) used in Cardiac Surgery,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
41190,13/05/2016,LivaNova 3T Heater Cooler (previously Sorin),LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42123,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42124,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42125,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42126,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42135,28/07/2016,Stockert,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42134,28/07/2016,Stockert Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42173,29/07/2016,HCU machine,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42261,4/08/2016,Stockert - Heater Cooler System,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42308,9/08/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
42600,1/09/2016,Sorin Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42608,2/09/2016,Stockert Heater Cooler System 3T,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42798,15/09/2016,Stockert - Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42799,15/09/2016,Stockert - Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42973,27/09/2016,Sorin T3 - Heater /Cooler for cardiac surgery,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42901,27/09/2016,Stockert Heater Cooler,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
43084,5/10/2016,Sorin Heater Cooler 3T,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
