Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26853,13/07/2012,Luxtec,Integra Neurosciences Pty Ltd,Integra Burlington MA Inc,186057,"Light source, general-purpose"
28047,26/07/2012,Vibrant Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
29119,7/11/2012,L9000 LightSource,Stryker Australia Pty Ltd,Stryker Endoscopy,176421,"Light source, (specify)"
29315,30/11/2012,GemStar power source accessory,Hospira Pty Limited,Hospira Inc,138118,"Fluid delivery mount accessory, holder, infusion pump, multi-outlet"
29622,24/01/2013,VIBRANT Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
28329,4/03/2013,Luxtec,Integra Neurosciences Pty Ltd,Integra Luxtec Inc,158720,"Light source, general-purpose"
,,Breast retractor,-,Snowden Pencer Inc (Georgia),94487,-
,,Fiber optic light cable,-,Snowden Pencer Inc (Georgia),129355,-
30000,17/06/2013,Vibrant Soundbridge Implant,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
31461,12/07/2013,Rechargeable Batteries Lithium-Ion,Endotherapeutics Pty Ltd,Vision Sciences Inc,137738,"Light source, endoscope, battery powered"
29664,11/09/2013,VIBRANT Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
29712,11/09/2013,VIBRANT Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
32820,3/06/2014,Vibrant Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
35226,5/09/2014,Vibrant Soundbridge Hearing aid,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
35724,18/12/2014,LumaDent Light source,Carl Zeiss Pty Ltd,Integra York PA Inc,207981,"Light source, hand-held, battery powered"
35134,7/01/2015,Vibrant Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
35753,8/04/2015,"Vibrant Soundbridge, Auditory Implant",Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
34416,17/06/2015,Vibrant Soundbridge Hearing Aid,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
37846,1/07/2015,KleenSpec Vaginal Specular Illumination System,Hill-Rom Pty Ltd,Welch Allyn Incorporated,101442,"Light source, (specify)"
38010,17/07/2015,IsoAid ADVANTAGE™ I-125 Brachytherapy Seeds,alphaXRT Pty Ltd,Isoaid LLC,154457,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
38398,22/08/2015,TheraStrand RX Radionuclide source implant,RQSolutions Medical Devices Distribution Support,Theragenics Corporation,205063,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
36040,2/02/2016,"Vibrant Soundbridge - Hearing aid, middle ear implant",Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
40466,11/03/2016,Vibrant Soundbridge - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,Partially-implantable middle ear implant system
42680,7/09/2016,Paediatric ventilator breathing circuit with bag,Southern Cross Hospital Supplies,Southern Cross Hospital Supplies,167486,"Breathing circuit bag, anaesthesia, single use"
39315,4/10/2016,Vibrant Soundbridge Vorp. 502 - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,Partially-implantable middle ear implant system
43259,24/11/2016,"SIR-Spheres microspheres - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",Sirtex Medical Limited,Sirtex Medical Limited,149332,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
46341,31/05/2017,"AIRWAYS DSE CATHETER MOUNT, Extension Tube with double Swivel Elbow and 15MM male connector",Southern Cross Hospital Supplies,Southern Cross Hospital Supplies,273384,"Tube/mask breathing circuit connector, sterile"
42402,6/07/2017,Vibrant Soundbridge - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,Partially-implantable middle ear implant system
48605,31/10/2017,SMIK Care alternating air pump - Alternating-pressure bed mattress overlay system,Care Quip,True Source Technology Co Ltd,208766,Alternating-pressure bed mattress overlay system
46716,8/11/2017,"TheraStrand RX - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",RQSolutions Medical Devices Distribution Support,Theragenics Corporation,205063,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
49441,21/12/2017,"Karl Storz Endoscopy Australia Pty Ltd. D-Light P Lightsource - Light source, endoscope, line powered",Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,149378,"Light source, endoscope, line powered"
49457,21/12/2017,"Karl Storz Endoscopy D-Light P Laparoscopic Lightsource - Light source, endoscope, line powered",Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,149378,"Light source, endoscope, line powered"
46801,1/02/2018,Vibrant Soundbridge - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,161702,Partially-implantable middle ear implant system
50510,16/03/2018,Cochlear Ltd - Nucleus 7 Sound Processor (CP1000) - Cochlear implant system sound processor,Cochlear Ltd,Cochlear Ltd,292000,Cochlear implant system sound processor
,,Phonak Roger 20 Integrated Receiver,-,Phonak,NA,-
49814,30/05/2018,Vibrant Soundbridge - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,161702,Partially-implantable middle ear implant system
51155,7/06/2018,"ADAPTATER FOR LIGHT SOURCE STORZ - Holder, endoscope, laparoscope",Device Technologies Australia Pty Ltd,Landanger ZI La Vendue,167761,"Holder, endoscope, laparoscope"
,,"Holder, endoscope, laparoscope",Reid Healthcare Pty Ltd,Landanger ZI La Vendue,167761,"Holder, endoscope, laparoscope"
53124,23/08/2018,Vibrant Soundbridge (502) - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,MED-EL Elektromedizinische Geräte GmbH,161702,Partially-implantable middle ear implant system
51153,21/09/2018,Vibrant Soundbridge - Partially-implantable middle ear implant system,MED-EL Implant Systems Australasia Pty Ltd,Med-El Elektromedizinische Geraete GmbH,287904,Partially-implantable middle ear implant system
51152,24/10/2018,Vibrant Soundbridge - Partially-implantable middle ear implant system,MED-EL Implant Systems Australasia Pty Ltd,Med-El Elektromedizinische Geraete GmbH,287904,Partially-implantable middle ear implant system
52895,26/11/2018,Vibrant Soundbridge (502) - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,161702,Partially-implantable middle ear implant system
52167,6/12/2018,Vibrant Soundbridge (503) - Partially-implantable middle ear implant system,MED-EL Implant Systems Australasia Pty Ltd,Med-El Elektromedizinische Geraete GmbH,287904,Partially-implantable middle ear implant system
55323,10/01/2019,"SMOOTHie tube - Breathing circuit, anaesthesia, single use",Southern Cross Hospital Supplies,Southern Cross Hospital Supplies,167488,"Breathing circuit, anaesthesia, single use"
54394,20/02/2019,Vibrant Soundbridge (502) - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,161702,Partially-implantable middle ear implant system
56278,20/06/2019,"Thermocool Smarttouch SF - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,233355,"Catheter, cardiac, electrophysiological mapping"
,,"Decanav Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,217338,"Catheter, cardiac, electrophysiological mapping"
,,"SoundStar eco Diagnostic Ultrasound Catheter - Transducer assembly, ultrasound, diagnostic, intracorporeal, intravascular",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,221253,"Transducer assembly, ultrasound, diagnostic, intracorporeal, intravascular"
52178,24/06/2019,"SIR-Spheres - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",Sirtex Medical Limited,Sirtex Medical Limited,149332,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
54366,28/06/2019,"SIR-Spheres - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",Sirtex Medical Limited,Sirtex Medical Limited,149332,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
55100,28/06/2019,"SIR-Spheres - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",Sirtex Medical Limited,Sirtex Medical Limited,149332,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
58162,24/07/2019,ConMed - Light source,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,126247,"Light source, (specify)"
57093,16/08/2019,MLX300 Xenon Light Source,Integra Neurosciences Pty Ltd,Integra York PA Inc,233110,"Light source, general-purpose"
,,unknown - 'light lead'/cable; may be part of lighting system?,-,unknown,unknown,-
,,unknown- 'lighted lateral retractor',-,unknown,unknown,-
59188,12/09/2019,Sigma Transwab® PF -Liquid Amies transport medium specimen collection kit,Southern Cross Diagnostics Pty Ltd,Medical Wire & Equipment Co (Bath) Ltd,303865,Liquid Amies transport medium specimen collection kit
59792,4/10/2019,Vibrant Soundbridge (503) - Partially-implantable middle ear implant system,MED-EL Implant Systems Australasia Pty Ltd,Med-El Elektromedizinische Gerate GmbH,287904,Partially-implantable middle ear implant system
58587,10/10/2019,Cochlear Ltd - Kanso Sound Processor (CP950) - Cochlear implant system sound processor,Cochlear Ltd,Cochlear Ltd,282194,Cochlear implant system sound processor
58324,30/10/2019,Vibrant Soundbridge (503) - Partially-implantable middle ear implant system,MED-EL Implant Systems Australasia Pty Ltd,Med-El Elektromedizinische Gerate GmbH,287904,Partially-implantable middle ear implant system
59791,10/04/2020,Vibrant Soundbridge (502) - Partially-implantable middle ear implant system,Pacing Importers Pty Ltd,Med-El Elektromedizinische Gerate GmbH,161702,Partially-implantable middle ear implant system
