Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27405,18/07/2012,StarClose SE Vascular Closure System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,151851,Femoral Artery Closure Kit
25445,31/07/2012,Gemstar Docking Station,Hospira Pty Limited,Hospira Inc,138118,"Fluid delivery mount accessory, holder, infusion pump, multi-outlet"
27437,15/08/2012,PROXIMATE RL LINEAR STAPLER,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132167,"Fixation device, internal, staple, tissue"
28152,24/08/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
28331,27/08/2012,Acuity Central Monitoring Station,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
28305,31/08/2012,91251C-Two Stage Venous Cannula 36/51FR,Medtronic Australasia Pty Ltd,Medtronic Inc,154998,"Cannula, venous"
28306,31/08/2012,TF3646O-Thin Flex Dual Stage Venous Drainage Cannula,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,182853,"Cannula, venous"
28316,3/09/2012,COVIDIEN PREMIUM SURGICLIP,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,149288,"Applier, surgical, clip, haemostatic, single use"
28317,3/09/2012,COVIDIEN stapler with dst series technology,Medtronic Australasia Pty Ltd,Covidien llc,180134,"Applier, surgical, staple"
26904,3/09/2012,IntelliVue Information Station,Philips Electronics Australia Ltd,Philips Medical Systems,94237,"Patient monitor, central unit"
28347,3/09/2012,SSK bearing posterior stabilised constrained 22X63/67,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,SSK femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,SSK tibial components - other,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
28500,7/09/2012,Vanguard posterior stabilised bearing 12X63/37,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Finned tibial tray,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard PS femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
28700,24/09/2012,Making Life Easy Toilet Chair,Home Medical Products Australia Pty Ltd,Yong Long Healthcare Equipment,177968,"Personal hygiene aid, toiletting, seat, raised, free-standing"
28272,25/09/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
,,Linear Cutter Reload Selectable,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
27975,4/10/2012,45MM ARTICNG LNR CUTR/WHT RLD,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132169,"Applier, surgical staple, cutting"
,,EES Endopath Reloads,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132171,"Fixation device, internal, staple, tissue"
27442,5/10/2012,45MM ARTICNG LNR CUTR/WHT RLD,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132169,"Applier, surgical staple, cutting"
28452,1/11/2012,45MM ARTICNG LNR CUTR/WHT RLD,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132169,"Applier, surgical staple, cutting"
