Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
25087,5/07/2012,32MM +4 LFIT V40 HEAD,Stryker Australia Pty Ltd,Benoist Girard,139227,"Prosthesis, hip, internal, femoral head component"
27369,16/07/2012,MISC. INSTRUMENTS - UPPER TRAY,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27510,18/07/2012,Duracon Knee Prosthesis,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
,,DURACON CS TIBIA INSERT MED 11,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
27508,18/07/2012,Guide Wire,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139721,"Fixation device, internal, wire"
,,"Fixation device, internal, screw",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
27558,24/07/2012,Triathlon Size 4-6 Keel Punch,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27559,25/07/2012,T-handle reamer,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27557,25/07/2012,TRIDENT ACET WINDOW TRIAL 54MM,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27721,26/07/2012,Trident 0 Deg Constrained Insert,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
27722,1/08/2012,Accolade Plus TMZF Hip Stem #4,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,145594,"Prosthesis, internal, joint, hip, femoral component"
,,Mitch TRH Md Hd Sz50+4,-,Finsbury Orthopaedics Ltd,,-
27832,8/08/2012,X3 Patella Button,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
27529,17/08/2012,Gamma Revision Nail,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
28472,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
,,SCORPIO NRG X3 PS TIBIAL INSERT #9 10mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,141151,"Prosthesis, internal, joint, knee, tibial component"
28592,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28591,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28588,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
,,SCORPIO NRG X3 PS TIBIAL INSERT #9 10mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,141151,"Prosthesis, internal, joint, knee, tibial component"
28590,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28017,17/08/2012,"T2 Locking Screw, Fully Threaded",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
28548,12/09/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
27535,12/09/2012,T2 Recon Nail Right 011MM x 400MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
,,T2 K-Wire Recon,Stryker Australia Pty Ltd,Stryker Trauma AG,143230,"Fixation device, internal, wire"
,,T2 Locking Screw Full Thread,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Locking Shaft Screw 05MM x 60MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Lag Screw 06.5MM x 105MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Lag Screw 06.5MM x 110MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Nail Right 013MM x 400MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
28549,12/09/2012,Triathlon Asymmetric Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128028,"Prosthesis, internal, joint, knee, tibial component"
,,TRIATHLON P/A CR BEADED #4R,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146118,"Prosthesis, internal, joint, knee, femoral component"
,,Triathlon-Prim Tib Baseplate,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128028,"Prosthesis, internal, joint, knee, tibial component"
,,X3 TRIATHLON CS INSERT #5 13MM,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128028,"Prosthesis, internal, joint, knee, tibial component"
28617,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28618,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28609,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28607,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28613,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28615,17/09/2012,Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28623,17/09/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28619,17/09/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28621,17/09/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28748,18/09/2012,CAPTIVE TWIST STRAIGHT DRIVER,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
28632,18/09/2012,M1 Cot,Stryker Australia Pty Ltd,Stryker Medical,138522,"Stretcher, ambulance"
28628,18/09/2012,TRITANIUM REVISION ACETABULAR,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
,,6.5 CANCELLOUS SCREW 25mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
,,6.5 CANCELLOUS SCREW 30mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
,,6.5 CANCELLOUS SCREW 35mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
28589,19/09/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
28749,25/09/2012,ABGII. Modular Stem,Stryker Australia Pty Ltd,Benoist Girard,169250,"Prosthesis, internal, joint, hip, femoral component"
28752,25/09/2012,ABGII. Modular Stem,Stryker Australia Pty Ltd,Benoist Girard,145647,"Prosthesis, internal, joint, hip, femoral component"
