Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27391,17/07/2012,"Balloon, gastric, appetite-suppressing",Gastro Pacific Pty Ltd,Spatz FGIA Inc,174506,"Balloon, gastric, appetite-suppressing"
27727,31/07/2012,"MRI system, full-body, superconducting magnet",GE Healthcare Australia Pty Ltd,GE Medical Systems LLC,108415,"MRI system, full-body, superconducting magnet"
28082,21/08/2012,Side Rail,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,115872,"Rail, side-support, bed"
28049,21/08/2012,Uni Rails,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,115872,"Rail, side-support, bed"
,,Contoura Bed,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
27028,24/08/2012,PFR Kit Uphold LITE Vaginal Support System,Boston Scientific Pty Ltd,Boston Scientific Corporation,150342,"Mesh, surgical"
28410,6/09/2012,PFR Kit Uphold LITE Vaginal Support System,Boston Scientific Pty Ltd,Boston Scientific Corporation,150342,"Mesh, surgical"
28408,6/09/2012,PFR Kit Uphold LITE Vaginal Support System,Boston Scientific Pty Ltd,Boston Scientific Corporation,150342,"Mesh, surgical"
28428,7/09/2012,Libra Super 16 Tampons,Asaleo Personal Care Pty Ltd,SCA Hygiene Australasia Pty Limited,27944,Tampon
28641,14/09/2012,Achieva 1.5T New,Philips Electronics Australia Ltd,Philips Medical Systems Nederland BV Business Unit Magnetic Resonance - Site Best,98887,"MRI system, full-body, superconducting magnet"
28833,10/10/2012,Biopsy Blade,Specialist Medical Supplies Pty Ltd,Kai Industries Co Ltd,146471,"Blade, scalpel, single use"
28562,12/10/2012,"Supraloop, 120 x 85 mm",Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,204948,"Endotherapy device, active, single use"
29040,26/10/2012,Active Care 1015-1,Active Medical Supplies Pty Ltd,Eagle Health Supplies,150403,"Personal hygiene aid, (specify)"
29188,8/11/2012,Supera Peripheral Vascular Stent,Idev Medical Technologies Pty Ltd,IDev Technologies Inc,181483,"Prosthesis, internal, stent, vascular"
29189,8/11/2012,Supera Peripheral Vascular Stent,Idev Medical Technologies Pty Ltd,IDev Technologies Inc,181483,"Prosthesis, internal, stent, vascular"
28389,6/12/2012,PFR Kit Uphold LITE Vaginal Support System,Boston Scientific Pty Ltd,Boston Scientific Corporation,150342,"Mesh, surgical"
29610,17/12/2012,Mystic II M-Style Mushroom Cup Vacuum Assist Delivery System Intergrated Pump & Cup System,Endeavour Medical & Surgical Supplies Pty Ltd,Cooper Surgical Inc,136607,"Extractor, vacuum, foetal"
28997,10/01/2013,Amplatz Superstiff Guidewire,annes test Boston Scientific Pty Ltd,Boston Scientific Corporation,159293,Catheter guide wire
29905,10/01/2013,Superflex Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
