Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27191,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, acetabular component",Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27198,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, acetabular component",Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27225,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,CPCS COCR PRIM HO STEM,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Inc Orthopaedic Division,101100,"Prosthesis, internal, joint, hip, femoral component"
,,R3 3 hole cup,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Inc Orthopaedic Division,94423,"Prosthesis, internal, joint, hip, acetabular component"
,,R3 CoCr Acetabular Liner,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27234,3/07/2012,Laminectomy Pack,Medline International Two Australia Pty Ltd,Medline International Two Australia Pty Ltd,140058,"Surgical procedure kit, neurosurgical, single-use, medicated"
27303,10/07/2012,Custom Pack Scalpels,annes test Paul Hartmann Pty Ltd,Paul Hartmann Pty Ltd,181068,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
27369,16/07/2012,MISC. INSTRUMENTS - UPPER TRAY,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
26781,17/07/2012,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
