Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28008,15/08/2012,GORE DrySeal Sheath,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,127320,"Catheter introducer, haemostasis valve"
,,GORE TAG Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
32175,15/10/2013,Conformable GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
,,"Conformable GORE® TAG® Thoracic Endoprosthesis, GORE TAG Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
30337,7/11/2013,Comformable GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
32234,18/03/2014,GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
34715,21/07/2014,Medi Freeze Skin Tag Remover,Pharmacare Laboratories Pty Ltd,Koninklijke Utermohlen Nv,215792,"Cryogenic spray, cutaneous"
35901,19/12/2014,GORE TAG Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
42578,14/09/2016,"GORE® TAG® Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
44550,13/05/2017,Conformable GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
50288,24/03/2018,"GORE® TAG® Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
,,"GORE TAG Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
50437,29/03/2018,"GORE® TAG® Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
54716,16/12/2018,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System - Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
,,GORE® TAG® Conformable Thoracic Stent Graft with ACTIVE CONTROL System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
56409,3/04/2019,Conformable GORE® TAG® Thoracic Endoprosthesis-Descending thoracic aorta endovascular stent - graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
56283,13/04/2019,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System- Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
56410,19/04/2019,Conformable GORE TAG Thoracic Endoprosthesis-Descending thoracic aorta endovascular stent - graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
,,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System - Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
58861,20/01/2020,"Slider Needle - Guide, suture",Stryker Australia Pty Ltd,TAG Medical Products Corporation Ltd,230400,"Guide, suture"
