Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27123,27/07/2012,Split Cath III,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),145174,"Catheter, haemodialysis, implantable"
30407,21/03/2013,Duralock C,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),147539,Catheter care kit
32084,6/09/2013,14.5FX24CM HEMO-FLOW CATHETER,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),145174,"Catheter, haemodialysis, implantable"
33466,1/04/2014,13.5F x 15cm Silicone Double Lumen Catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
33467,21/04/2014,12.5F x 18cm LT Hemo-Cath catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),145174,"Catheter, haemodialysis, implantable"
34920,11/08/2014,Medcomp 14.5F x 24cm Tunnelled Vascular Catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),145174,"Catheter, haemodialysis, implantable"
35243,17/09/2014,MedComp DuoSplit catheter with pre-loaded syylet :,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
35370,10/11/2014,Bard Port,Med-Chem Surgical Pty Ltd,Tekno-Medical Optik-Chirurgie GmbH,156240,"Saw, surgical, (specify)"
42257,11/08/2016,High V plus Spinal Cement,Life Healthcare Pty Ltd,Teknimed SAS,239816,"Vertebral bone filler, non-bioabsorbable"
38846,11/11/2016,13.5FX24CM SILICONE DBL LMN Catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
46609,15/09/2017,"15.5FX28CM PC TITAN CATH WOSH - Catheter, haemodialysis, implantable",Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),145174,"Catheter, haemodialysis, implantable"
50406,10/05/2018,"13.5F X 20CM SILICONE CATH - Catheter, haemodialysis, implantable",Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
56838,8/04/2019,Medical Components Inc - 15.5 fr x 24cm STR FREE Flow Catheter,Tekmed Pty Ltd,Medical Components Inc,193371,"Catheter, haemodialysis, implantable"
56678,20/06/2019,Medical Components Inc 15.5 fr x 24cm STR STFREE Flow Catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
,,Baxter,-,Baxter,,-
