Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27505,25/07/2012,TELIGEN IS-4 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
27382,22/08/2012,TELIGEN 100 VR HE GDT LLHH,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
27027,13/09/2012,TELIGEN IS-1/DF-1 - Dual Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154039,"Defibrillator, implantable, automatic, dual-chamber"
28880,11/10/2012,TELIGEN 100 VR HE GDT LLHH,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
28792,7/11/2012,TELIGEN IS-1/DF-1 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154037,"Defibrillator, implantable, automatic, dual-chamber"
,,Endotak Reliance Lead,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128708,"Lead, defibrillator/pacemaker, implantable"
29205,8/11/2012,"PICC, 5 French Duial Lumen",Teleflex Medical Australia Pty Ltd,Arrow International Inc,180279,"Catheter, central venous, peripherally inserted"
26699,15/11/2012,TELIGEN IS-1/DF-1 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154037,"Defibrillator, implantable, automatic, dual-chamber"
27753,20/11/2012,Acuity Central Monitoring Station,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
,,Micropaq,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,144885,"Telemetry system transmitter, electrocardiograph"
,,Propaq LT,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,123809,"Patient monitor module, multifunction"
29455,28/11/2012,TELIGEN IS-1/DF-1 - Dual Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154039,"Defibrillator, implantable, automatic, dual-chamber"
29324,5/12/2012,TELIGEN IS-1/DF-1 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154037,"Defibrillator, implantable, automatic, dual-chamber"
,,Endotak Endurance RX Lead,-,Guidant Ireland,66245,-
29557,11/12/2012,TELIGEN 100 VR HE DF1/IS1,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154037,"Defibrillator, implantable, automatic, dual-chamber"
,,Endotak Reliance G Active Fixation Lead,-,Cardiac Pacemakers Inc,106473,-
29627,17/12/2012,TELIGEN IS-1/DF-1 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154037,"Defibrillator, implantable, automatic, dual-chamber"
29672,18/12/2012,"Teligen - Defibrillator, implantable, automatic, dual-chamber",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154039,"Defibrillator, implantable, automatic, dual-chamber"
29745,3/01/2013,TELIGEN 100 VR HE GDT LLHH,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
29063,7/01/2013,Peripherally Inserted Central Venous Catheter,Teleflex Medical Australia Pty Ltd,Arrow International Inc,148784,"Catheter, central venous, peripherally inserted"
29067,9/01/2013,Catheter Introducing Sheath,Teleflex Medical Australia Pty Ltd,Arrow International Inc,159330,Catheter introducing sheath
,,Swan-Ganz PA Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160613,"Catheter, cardiac, balloon, pulmonary artery"
28723,14/01/2013,MX40 2.4 GHz Smart Hopping,Philips Electronics Australia Ltd,Philips Medical Systems,99204,"Telemetry system, electrocardiograph"
29503,14/01/2013,TELIGEN 100 DR HE GDT LLHH,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154038,"Defibrillator, implantable, automatic, dual-chamber"
29995,6/02/2013,TELIGEN IS-1/DF-1 - Dual Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154039,"Defibrillator, implantable, automatic, dual-chamber"
30354,16/04/2013,Pleuevac Chest Drain A6000 08LF Adult,Teleflex Medical Australia Pty Ltd,Teleflex Medical,152278,"Suction unit, thoracic"
