Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28538,20/07/2012,Angio-Seal,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
28235,28/08/2012,6F Angio-Seal Vascular Closure Device VIP,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
29480,28/11/2012,6F Angio-Seal Vascular Closure Device VIP,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
29656,9/01/2013,6F Angio-Seal Vascular Closure Device VIP,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
29928,24/01/2013,Laerdal Self Inflating Resucitator (Pre Term Size),Laerdal Pty Ltd,Laerdal Medical AS,108736,"Resuscitator, pulmonary, manual, reusable"
31010,29/05/2013,Tubing Sealer,Terumo Corporation Australian Branch,Terumo Penpol Limited,132338,"Sealing unit, packaging"
31232,18/06/2013,Tube Sealer,Terumo Corporation Australian Branch,Terumo Penpol Limited,132338,"Sealing unit, packaging"
31446,12/07/2013,Absolute Pro LL Self-Expanding Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,146848,"Prosthesis, internal, stent, vascular"
,,Catheter introducing sheath,Terumo Australia Pty Ltd,Onset Medical Corporation,201020,Catheter introducing sheath
31539,23/07/2013,TERUMO BCT Spectra Optia Apheresis System Collection Set,Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129064,Blood collection tubing set
31261,12/08/2013,Surflo Winged Infusion Set,Terumo Corporation Australian Branch,Terumo Corporation,125892,"Intravenous administration set, scalp vein"
31510,13/09/2013,Perclose ProGlide 6F Suture Mediated Closure (SMC) System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
,,Catheter introducing sheath,Terumo Australia Pty Ltd,Onset Medical Corporation,201020,Catheter introducing sheath
32241,11/10/2013,"Spectra Optia Apheresis Collection Set, Apheresis kit",Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129064,Blood collection tubing set
32369,24/10/2013,3cc Luer Lock Terumo Syringe,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144071,"Needle, blunt, single use"
32306,5/12/2013,Terumo U-100 Insulin Syringe with Needle,Terumo Corporation Australian Branch,Terumo Medical Corporation,133860,"Syringe, hypodermic, insulin"
31906,20/12/2013,Tube Sealer,Terumo Corporation Australian Branch,Terumo Penpol Limited,132338,"Sealing unit, packaging"
33006,31/12/2013,Spectra Optia Collection Kit,Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129064,Blood collection tubing set
33029,6/01/2014,Abbott Xience Stent,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
,,Runthrough NS - Catheter guide wire,Terumo Corporation Australian Branch,Terumo Corporation,118105,Catheter guide wire
33243,3/02/2014,COBE (Terumo BCT),Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129066,"Centrifuge, cell washing"
33426,21/02/2014,Terumo Hypodermic syringe,Terumo Corporation Australian Branch,Terumo Corporation,96124,"Syringe, hypodermic, metered-delivery"
33428,21/02/2014,Terumo Hypodermic syringe,Terumo Corporation Australian Branch,Terumo Corporation,96124,"Syringe, hypodermic, metered-delivery"
