Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26081,4/07/2012,Thermocool Ablation catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178844,"Catheter, cardiac, electrophysiological mapping"
,,Bidirectional CS Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,162172,"Catheter, cardiac, electrophysiological mapping"
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
27675,2/08/2012,Pipeline Embolization Device (PEP),Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
27873,10/08/2012,Infant Optiflow Tubing Kit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
,,Optiflow Junior Cannula,-,Fisher & Paykel Healthcare Ltd,,-
28046,21/08/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
26822,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
26130,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
,,Carto 3,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
26825,27/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
25936,28/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
28505,11/09/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
,,EP WorkMate System,St Jude Medical Australia Pty Ltd,St Jude Medical Inc,160471,Single-patient physiologic monitoring system
27567,13/09/2012,Emerald AR Unfolder for the Tecnos 1 -piece,AMO Australia Pty Ltd,Abbott Medical Optics Inc,145631,Intraocular lens inserter
27730,25/09/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28799,3/10/2012,Infant Dual-Heated Evaqua2 Breathing Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
,,Babylog ventilation unit,Draeger Medical Australia Pty Ltd,Drager Medical GmbH,170141,"Ventilator, neonatal/paediatric"
,,Respiratory Humidifier,-,Fisher & Paykel Healthcare Ltd,,-
28891,12/10/2012,"Cool Path Duo 7F, 1304-CP2-7-1.5(5)2-M-TE4BE1A",Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,153862,"Catheter, cardiac, electrophysiological mapping"
,,Therapy Cool Flex Ablation Catheter,St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
28813,30/10/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
,,Carto3,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,Carto3 Reference Patch,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
28501,7/11/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
27690,9/11/2012,Thermocool Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,153695,"Catheter, cardiac, electrophysiological mapping"
29232,13/11/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
,,CODA Balloon Catheter,-,Cook Incorporated,,-
29433,19/11/2012,Cryocyte Bag,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation Cellular Therapies Division,129892,Blood collection/cell-culture container
28341,21/11/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
,,Carto3,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,LASSO 2515 NAV Variable Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,161194,"Catheter, cardiac, electrophysiological mapping"
,,ThermoCool Smart Touch Bi-Directional Navigation Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
29311,23/11/2012,Lullaby (Florescent) Phototherapy System,GE Healthcare Australia Pty Ltd,Ohmeda Medical a Division of Datex-Ohmeda,140183,"Light therapy unit, photo"
29911,9/01/2013,ACDA - Anticogulant for Apheresis Therapeutic Plasma Exchange,Aurora BioScience Pty Ltd,Baxter Healthcare Pty Ltd,203404,"Blood storage solution, anticoagulation"
29912,9/01/2013,ACDA infusion for Anti-coagulant during Apheresis Therapeutic Platelet Reduction,Aurora BioScience Pty Ltd,Baxter Healthcare Pty Ltd,203404,"Blood storage solution, anticoagulation"
29859,16/01/2013,"AcroMetrix PeliSpy Sero Control Type 36, CE-IVD",Thermo Fisher Scientific Australia Pty Ltd,AcroMetrix Co,192532,Viral infectious disease IVDs
29834,18/01/2013,Patient Interface/Nasal Tubing,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30079,6/02/2013,BD Connecta 10cm,Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy AB,126507,Infusion stopcock
29593,25/02/2013,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
30196,1/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30277,11/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
29940,12/03/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30112,15/03/2013,Infant Breathing Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,100633,Oxygen therapy delivery system
30416,20/03/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30987,21/03/2013,Biotray TD2755NDZ Swan Ganz Catheter,The Critical Group Pty Ltd,Biosensors International Pte Ltd,161547,"Catheter, cardiac, balloon, thermal dilution"
30524,28/03/2013,Catheter Mount,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
,,Adult Breathing Circuit,-,Fisher & Paykel Healthcare Ltd,,-
30382,28/03/2013,V.A.C. ® Therapy,KCI Medical Australia Pty Ltd,KCI USA Inc,141023,"Dressing, interactive"
,,ActiV.A.C.® Therapy System,KCI Medical Australia Pty Ltd,KCI USA Inc,192304,"Suction system, wound, powered"
29823,28/03/2013,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
30523,29/03/2013,Infant Optiflow Tubing Kit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
29749,9/04/2013,Thermocool Navistar Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
30656,17/04/2013,XiO Radiotherapy Wedge,Elekta Pty Ltd,Elekta Business Area Software Systems Impac Medical Systems Inc,99769,"Radiation therapy treatment planning system, application program software"
30867,9/05/2013,Adult Breathing Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30205,14/05/2013,Biosensors International introducer,The Critical Group Pty Ltd,Biosensors International Pte Ltd,161547,"Catheter, cardiac, balloon, thermal dilution"
30927,17/05/2013,Therakos Cell-Ex Apheresis kit,Medtel Pty Ltd,Therakos Inc,139763,Photopheresis system blood set
30721,12/06/2013,Innova Over-The-Wire Self Expanding Vascular Stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,104281,"Prosthesis, internal, stent, vascular"
30649,24/06/2013,Marena Binder,Device Technologies Australia Pty Ltd,The Marena Group Inc,98365,"Binder, (specify)"
31349,28/06/2013,Therapy Cool Flex Ablation Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
,,"Inquiry Optima Steerable Catheter - Inquiry Cardioversion Steerable Diagnostic Catheter - Single Catheter System - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,148117,"Catheter, cardiac, electrophysiological mapping"
,,"Livewire Steerable Decapolar Catheter -Livewire Steerable Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,141868,"Catheter, cardiac, electrophysiological mapping"
31478,15/07/2013,"INTRAVENOUS LINE STOPCOCK, 3-WAY, 360deg, WHITE, 1",Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy AB,126507,Infusion stopcock
31492,16/07/2013,Digoxin Flex® reagent cartridge,Siemens Healthcare Pty Ltd,Siemens Healthcare Diagnostics Inc,182220,Clinical chemistry therapeutic drug monitoring IVDs
31525,19/07/2013,LMA Supreme airway,Teleflex Medical Australia Pty Ltd,The Laryngeal Mask Company Limited,117677,"Airway, laryngeal, single-use"
30696,19/07/2013,Pipeline intracranial vascular,Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
,,"Marksman Catheter - Catheter, intravascular, stent-placement",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,193795,"Catheter, intravascular, stent-placement"
31575,25/07/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
31332,31/07/2013,Gambro Therapeutic Plasma Exchange System,Baxter Healthcare Pty Ltd,Gambro Lundia AB Monitor Division,142047,Therapeutic plasma exchange system
31640,1/08/2013,Cellex Photoapheresis Procedural kit,Medtel Pty Ltd,Therakos Inc,139763,Photopheresis system blood set
31658,2/08/2013,Harris Oxygen Flowmeter,HGEA Pty Ltd,Harris Calorific SRL,140296,"Flowmeter, oxygen therapy"
31800,16/08/2013,Cyberonics VNS Therapy pulse generator,LivaNova Australia Pty Ltd,Cyberonics Inc,168817,"Stimulator, electrical, vagus nerve, antiseizure"
,,"302.20 and 302.30 - Electrode/lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
28575,19/08/2013,"Application program software, Workstation (MOSAIQ)",Siemens Ltd,Impac Medical Systems Inc,175828,"Radiation therapy treatment system, record/verify, application program software"
27362,27/08/2013,Instant detacher,Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,150013,Embolization implant inserter
,,"Axium Detachable Coils - Prosthesis, internal, embolization, intravascular",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,149398,"Prosthesis, internal, embolization, intravascular"
27360,27/08/2013,Pipeline stent,Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
,,"Alligator Retrieval Device - Catheter, snare",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,190843,"Catheter, snare"
,,"Marksman Catheter - Catheter, intravascular, stent-placement",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,193795,"Catheter, intravascular, stent-placement"
31877,29/08/2013,Type-S Thermoplastic,alphaXRT Pty Ltd,CIVCO Medical Solutions Inc,149574,"Patient positioning device, diagnostic imaging/radiotherapy, moulding, thermoplastic"
32027,12/09/2013,Dermal Therapy Blistop™,LaCorium Health International Pty Ltd,LaCorium Health International Pty Ltd,166056,"Dressing, liquid barrier, synthetic polymer"
26405,30/09/2013,THERMOCOOL SF CARTOXP D-F TC,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,CARTO 3 Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"EZ STEER THERMOCOOL Bi-Directional Catheter (with Thermocouple) - Catheter, cardiac, electrophysiological mapping?",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,155131,"Catheter, cardiac, electrophysiological mapping"
,,"EZ STEER THERMOCOOL NAV Bi-Directional Catheter - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
32138,30/09/2013,"Thermometer, Clinical, Human, Digital, Standard, M",Tollot Pty Ltd T/a Aaxis Pacific,Hangzhou Hua'An Medical & Health Instruments Co Ltd,126607,"Thermometer, electronic"
32139,30/09/2013,"Thermometer, Clinical, Human, Digital, Standard, M",3M Australia Pty Ltd,Citizen Systems Japan Co Ltd,173573,"Thermometer, electronic"
31310,3/10/2013,Thermocool SF CartoXP B-B TC,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178843,"Catheter, cardiac, electrophysiological mapping"
