Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27213,25/07/2012,INSIGNIA I Ultra DDDRO Dual Chamber IS-1 Comp,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101793,"Pacemaker, cardiac, implantable"
28034,14/08/2012,CORFLO-ULTRA Tube,Halyard Australia Pty Ltd,Viasys Medsystems,138669,Enteral feeding kit
28171,24/08/2012,Epicor UltraCinch LP,St Jude Medical Australia Pty Ltd,St Jude Medical,160368,Cardiac tissue ablation system applicator
,,Epicor Ablation Control System,St Jude Medical Australia Pty Ltd,St Jude Medical,118008,"Generator, hyperthermia system"
,,Positioning and Sizing System (PAS),St Jude Medical Australia Pty Ltd,St Jude Medical,123728,Cardiac tissue ablation system applicator placement device
28212,28/08/2012,Ultimate Medical,Ultimate Medical Pty Ltd,Tianjin Medis International Trade Co Ltd,181860,"Tube, tracheal, general-purpose, single-use"
28312,3/09/2012,Harmonic Ace,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28372,5/09/2012,Vivid i (Ultrasound),GE Healthcare Australia Pty Ltd,GE Medical Systems Israel Ltd,141702,"Ultrasound system, imaging, cardiovascular"
28480,12/09/2012,Ultra Injector,AMO Australia Pty Ltd,Duckworth & Kent Ltd,131006,Intraocular lens inserter
,,One Series Ultra Cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,179040,Intraocular lens inserter
28513,13/09/2012,Genscreen HIV Ag/Ab Ultra,Bio-Rad Laboratories Pty Ltd,Bio-Rad,134410,Unclassified
28029,24/09/2012,Harmonic Generator,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,125258,"Electrosurgical unit, ultrasonic/mechanical vibration"
27767,25/09/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
27908,25/09/2012,Harmonic Focus curved shears,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28525,5/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28526,5/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28106,8/10/2012,INSIGNIA Ultra DR,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101793,"Pacemaker, cardiac, implantable"
27937,15/10/2012,HARMONIC ACE ERGO CURVED SHEAR 36CM BX1,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
