Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28922,18/10/2012,Urethral Catheter 2 way 12FG,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
27853,27/11/2012,PROLENE 3/0 2XSH 120CM,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,136690,"Suture, polypropylene monofilament"
29887,29/11/2012,6.0 Vicryl Suture,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,141405,"Suture, polyglactin"
26140,29/04/2013,Argyle Silicone Catheters,Medtronic Australasia Pty Ltd,Covidien llc,184754,"Catheter, urological, intermittent"
27554,3/05/2013,Kendall Argyle All Silicone Foley Catheter 12F,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
31197,24/07/2013,Amplatz Renal Catheter,William A Cook Australia Pty Ltd,Cook Urological Incorporated,139309,"Endotherapy dilator, single use"
31563,24/07/2013,"Foley Ureatheral Catheter 2 way, 14fg",Covidien Pty Ltd,Mediquip Sdn Bhd,146090,"Catheter, urological, Foley"
26308,17/09/2013,TCIIIC INTRNTL Catheter 1PCK,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,97100,"Catheter, hyperthermia unit, uterine ablation"
26383,30/09/2013,Physio Mesh,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,117402,"Mesh, polymeric, composite"
30180,11/10/2013,Tissue Morcellator,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,138758,Tissue morcellation system
26692,16/10/2013,VICRYL SUTURE 27IN(70CM) 2-0 UND,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,141405,"Suture, polyglactin"
