Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27381,11/07/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"IIrrigation fluid, medical/surgical procedure",AMO Australia Pty Ltd,AMO Groningen BV,176060,"IIrrigation fluid, medical/surgical procedure"
,,ProVisc,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
27485,24/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27009,25/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27530,27/07/2012,Sharps Container,Chelsea Medical Pty Ltd,Zhejiang Vitalcare Medical Devices Co Ltd,200654,"Waste disposal unit, container, sharp"
26579,9/08/2012,Vitality 2 DR Dual Chamber ICD,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113726,Defibrillator/pacemaker
28027,16/08/2012,Restylane Vital Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,194004,"Synthetic-fluid tissue reconstructive material, anaesthetic"
28160,24/08/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
26983,24/08/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
26178,27/08/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27487,28/08/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
28778,27/09/2012,EmbryoGen IVF Media,Origio Australasia Pty Ltd,Origio A/S,161617,In vitro fertilization culture medium
28801,3/10/2012,VITALITY 2 DR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
,,ENDOTAK RELIANCE G Lead,-,Cardiac Pacemakers Inc,106473,-
27010,24/10/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27122,31/10/2012,Vitality 2 DR Dual Chamber ICD,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113726,Defibrillator/pacemaker
28775,31/10/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
28622,31/10/2012,VITALITY AVT,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,114737,"Defibrillator, implantable, automatic, dual-chamber"
29295,6/12/2012,VITALITY 2 DR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
29697,19/12/2012,Vitality 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
29163,27/12/2012,VITALITY 2 DR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
28717,7/01/2013,VITALITY AVT,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,114737,"Defibrillator, implantable, automatic, dual-chamber"
30046,13/02/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113719,Defibrillator/pacemaker
30078,15/02/2013,Embryogen,Origio Australasia Pty Ltd,Origio A/S,147384,In vitro fertilization culture medium
29522,1/03/2013,Vitality 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
29197,5/03/2013,Cataract extraction/vitrectomy system,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
29827,7/03/2013,Vitality 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113719,Defibrillator/pacemaker
29945,7/03/2013,Vitality 2 DR Dual Chamber ICD,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
29596,7/03/2013,Vitality 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30452,25/03/2013,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30443,26/03/2013,Vital Signs Monitor 5300 series with power pack model 713254,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
30516,3/04/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30518,3/04/2013,Vitality 2 DR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
29866,22/04/2013,Vitatron T60DR Pacemaker,Medtronic Australasia Pty Ltd,Vitatron BV,116027,"Pacemaker, cardiac, implantable"
,,"Capsure Sense MRI SureScan Model 4074 - Lead, defibrillator/pacemaker, implantable",Medtronic Australasia Pty Ltd,Medtronic Inc,134331,"Lead, defibrillator/pacemaker, implantable"
,,"Capsure Sense MRI SureScan Model 4574 - Lead, defibrillator/pacemaker, implantable",Medtronic Australasia Pty Ltd,Medtronic Inc,134426,"Lead, defibrillator/pacemaker, implantable"
30099,24/04/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113719,Defibrillator/pacemaker
30389,3/05/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30879,14/05/2013,VITALITY 2 Defibrillator,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27540,16/05/2013,VITALITY 2 EL Implantable Cardioverter Defibrillator,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30912,12/06/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
30911,24/06/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113726,Defibrillator/pacemaker
,,"ENDOTAK RELIANCE SG LEADS - Lead, defibrillator/pacemaker, implantable",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,119322,"Lead, defibrillator/pacemaker, implantable"
31180,1/07/2013,VITALITY AVT IS-1/DF-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,114737,"Defibrillator, implantable, automatic, dual-chamber"
31357,3/07/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
31257,12/07/2013,Restylane Vital Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,194004,"Synthetic-fluid tissue reconstructive material, anaesthetic"
30613,15/07/2013,Amvisc Plus,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,161187,Aqueous/vitreous humour replacement medium
29960,17/07/2013,VITALITY 2 DR EL IS-1/DF-1Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
31553,24/07/2013,"Breathing Circuit, VesaMed",CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
31636,31/07/2013,Breathing Circuit for VesaMed Ventilator,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,168765,"Breathing circuit, ventilator, single use"
31798,21/08/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
31881,29/08/2013,Hickman line 12fr with vitacuff,Bard Australia Pty Ltd,Bard Access Systems Inc,145469,"Catheterization kit, central venous"
31731,17/09/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Boston Scientific CRM,113729,single chamber implantable defibrillator
32073,23/09/2013,RELIANCE defibrillator/pacemaker Lead,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128708,"Lead, defibrillator/pacemaker, implantable"
,,VITALITY 2 VR Model T175 - Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113719,Defibrillator/pacemaker
27899,2/10/2013,VITALITY 2 EL VR,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32229,10/10/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
31929,31/10/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32470,4/11/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32450,8/11/2013,VITALITY 2 defibrillator,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
28117,18/11/2013,Accurus 25 + TPP Vit Pack,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
28112,18/11/2013,Constellation 23Ga Total Plus Vitrectomy Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc-Houston,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
32408,19/11/2013,Vital Port,William A Cook Australia Pty Ltd,Cook Vascular Incorporated,142612,"Port/catheter, internal, subcutaneous"
32288,20/11/2013,VITALITY 2,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32781,4/12/2013,Limbo Circuit GE Medical Systems,CareFusion Australia 316 Pty Ltd,Vital Signs Inc,167657,"Breathing circuit, anaesthesia, single use"
31683,16/12/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32151,18/12/2013,VITALITY 2 Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
32895,10/01/2014,LENTIS TPLUS CUSTOM MONOFOCAL LENS,Device Technologies Australia Pty Ltd,Oculentis BV,198807,"Lens, intraocular, posterior chamber"
,,ProVisc - Aqueous/vitreous humour replacement medium kit,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
28743,29/01/2014,Duovisc IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,141482,Aqueous/vitreous humour replacement medium kit
33282,6/02/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
33323,10/02/2014,Vitatron Pacemaker,Medtronic Australasia Pty Ltd,Vitatron BV,116027,"Pacemaker, cardiac, implantable"
32904,26/02/2014,Vitality 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
33503,28/02/2014,CONSTELLATION® Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145674,Cataract extraction/vitrectomy system generator
32987,7/03/2014,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Boston Scientific CRM,113729,Single chamber implantable defibrillator
33023,11/03/2014,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Boston Scientific CRM,113729,Single chamber implantable defibrillator
33664,17/03/2014,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
33481,18/03/2014,DUOVISC® IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141482,Aqueous/Vitreous Humour Replacement Medium Kit
33487,18/03/2014,DUOVISC® IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141482,Aqueous/Vitreous Humour Replacement Medium Kit
33819,2/04/2014,VITALITY 2 DR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
,,"Endotak Reliance Leads models 0127, 0128, 0129 - Lead, defibrillator/pacemaker, implantable",-,Cardiac Pacemakers Inc,131985,-
33901,10/04/2014,VITALITY 2 VR EL defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
33944,16/04/2014,VITALITY 2 DR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113725,Defibrillator/pacemaker
32948,22/04/2014,Vital Signs Monitor 5300 series,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
33144,19/05/2014,VITATRON DA+ T-SERIES SR pacemaker,Medtronic Australasia Pty Ltd,Vitatron BV,141139,"Pacemaker, cardiac, implantable"
34364,10/06/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
34583,4/07/2014,"EMBRYOGEN, IVF MEDIA",Origio Australasia Pty Ltd,Origio A/S,200621,In vitro fertilization culture medium
34442,9/07/2014,VITALIO MRI,Boston Scientific Pty Ltd,Boston Scientific Corporation,213927,"Dual-chamber pacemaker, rate responsive"
34908,29/07/2014,VITALITY 2 VR Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113719,Defibrillator/pacemaker
,,"Endotak Reliance Leads models 0147,0148,0149 - Lead, defibrillator/pacemaker, implantable",annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128708,"Lead, defibrillator/pacemaker, implantable"
34815,1/08/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
34421,9/08/2014,VITALITY 2 VR EL Defibrillator/Pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
34910,11/08/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
35062,28/08/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
35063,28/08/2014,VITALITY 2 VR EL Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
35161,8/09/2014,VITALITY 2 DR Defibrillator/pacemaker,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113726,Defibrillator/pacemaker
32616,1/10/2014,Memmert Blanket Warmer,In Vitro Technologies Pty Ltd,Memmert GmbH & Co KG,150462,"Chamber, warming"
32523,1/10/2014,Tenderfoot Heel Incision Device,In Vitro Technologies Pty Ltd,International Techynidyne Corp (ITC),112140,"Lancet, manual, single use"
