Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28008,15/08/2012,GORE DrySeal Sheath,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,127320,"Catheter introducer, haemostasis valve"
,,GORE TAG Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
27460,15/08/2012,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
,,GORE EXCLUDER AAA Trunk-Ipsilateral Leg Endoprostheses,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
27757,21/09/2012,GORE EXCLUDER AAA ENDOPROSTHESIS,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
29038,24/10/2012,Gore Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
27762,23/11/2012,GORE EXCLUDER AAA ENDOPROSTHESIS,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
,,Gore Excluder AAA Contralateral Leg Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
29755,8/01/2013,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
29654,5/02/2013,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
29874,19/02/2013,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
30105,5/03/2013,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
29514,11/03/2013,GORE EXCLUDER AAA Endoprostheses,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158681,"Prosthesis, internal, stent, vascular"
,,Endurant 30mm Aortic Cuff,-,Medtronic Inc,,-
,,GORE EXCLUDER AAA Endoprostheses,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158681,"Prosthesis, internal, stent, vascular"
30325,8/04/2013,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
30249,9/04/2013,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
30336,22/04/2013,GORE DrySeal Sheath,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,127320,"Catheter introducer, haemostasis valve"
30830,13/05/2013,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
30558,10/06/2013,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,abdominal aorta endovascular stent - graft
,,Gore Excluder AAA Contralateral Leg Endoprosthesis -,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
31272,12/07/2013,GORE® VIABAHN® Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,160210,"Prosthesis, internal, stent, vascular"
30541,13/07/2013,EXCLUDER Bifurcated Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
31160,17/07/2013,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
30933,5/08/2013,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
,,Gore Excluder AAA Contralateral Leg Endoprosthesis -,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
31898,30/09/2013,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,Abdominal aorta endovascular stent-graft
32175,15/10/2013,Conformable GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
,,"Conformable GORE® TAG® Thoracic Endoprosthesis, GORE TAG Thoracic Endoprosthesis - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
32177,15/10/2013,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
,,"GORE® EXCLUDER® AAA Contralateral Leg Components, Gore Excluder AAA Contralateral Leg Endoprosthesis -",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"Prosthesis, internal, stent, vascular"
32499,6/11/2013,Absolute Pro LL Self-Expanding Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,146848,"Prosthesis, internal, stent, vascular"
,,"Gore Viabahn Endoprosthesis with Propaten Bioactive Surface - Prosthesis, internal, stent, vascular",W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,160210,"Prosthesis, internal, stent, vascular"
30337,7/11/2013,Comformable GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
32734,31/12/2013,GORE EXCLUDER AAA Endoprosthesis featuring C3 Deployment System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
33385,14/02/2014,Endoscopic GORE SEAMGUARD® Bioabsorbable Staple Line Reinforcement,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,153351,"Mesh, polymeric, biodegradable"
33383,18/02/2014,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,Abdominal aortic aneurysm stent
33469,6/03/2014,GORE® Septal Occluder,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,202817,Cardiac occluder
33611,10/03/2014,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
32234,18/03/2014,GORE® TAG® Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
33808,1/04/2014,GORE suture Passer,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,108179,Suture/needle passer
33679,2/04/2014,GORE® EXCLUDER® AAA Endoprosthesis featuring C3 Deployment System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
30492,8/05/2014,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
33656,12/06/2014,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
34773,5/09/2014,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
35031,9/09/2014,GORE VIABAHN Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,160210,"Prosthesis, internal, stent, vascular"
34948,10/09/2014,GORE® EXCLUDER® AAA Endoprosthesis Featuring C3 Delivery System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
35141,15/09/2014,GORE EXCLUDER AAA Endoprosthesis featuring C3 Delivery System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
,,PXC141400/9612841,-,n/k,,-
30932,16/09/2014,GORE EXCLUDER AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,158680,"MIH/ System, Endovascular Graft, Aoric Aneurysm Treatment"
34734,18/09/2014,GORE® VIATORR® TIPS Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,94146,"Graft, vascular, synthetic"
,,GORE® VIATORR® TIPS Endoprosthesis,-,n/k,,-
35360,26/09/2014,Seamguard mesh,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,153352,"Mesh, polymeric, biodegradable"
35440,28/10/2014,GORE® EXCLUDER® AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,Abdominal aortic aneurysm stent
,,Gore Excluder AAA Trunk Ipsilateral Leg Endoprotheses - Abdominal aortic aneurysm stent,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
35989,5/12/2014,Gore Viatorr Tipps Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,94146,"Graft, vascular, synthetic"
35902,15/12/2014,GORE DrySeal Sheath,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,127320,"Catheter introducer, haemostasis valve"
35901,19/12/2014,GORE TAG Thoracic Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
36088,31/12/2014,GORE® VIABAHN® Endoprosthesis with Heparin Bioactive Surface,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,160210,"Prosthesis, internal, stent, vascular"
