Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27368,12/07/2012,Nathanson Cystic/Common Bile Duct Exploration Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
24786,8/08/2012,Endoscopic Cholangiography Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27973,16/08/2012,Performer Introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
,,Lunderquist Stiff Wire,-,Cook Incorporated,,-
,,Zenith Fenestrated Endovascular Graft,-,William A Cook Australia Pty Ltd,,-
28046,21/08/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28555,17/09/2012,Frova intubating bougie,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
28744,25/09/2012,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
27730,25/09/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28856,10/10/2012,Zenith Branch Iliac Endovascular Graft Bifurcated,William A Cook Australia Pty Ltd,William A Cook Australia Pty Ltd,138930,"Graft, vascular, synthetic"
29080,30/10/2012,Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
29232,13/11/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
,,CODA Balloon Catheter,-,Cook Incorporated,,-
29229,22/11/2012,EchoTip ProCore High Definition Ultrasound Biopsy Needle,William A Cook Australia Pty Ltd,Cook Ireland Ltd,181256,"Biopsy kit, ultrasonic aspiration"
29447,27/11/2012,Advance 35 LP Low Profile Balloon Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,171374,"Catheter, angioplasty, balloon dilatation"
29237,4/12/2012,Wood Pleural/Pnemopericarial Drainage Set,William A Cook Australia Pty Ltd,Cook Incorporated,156668,"Tube, drainage"
29230,4/12/2012,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
,,CODA Balloon Catheter,-,Cook Incorporated,,-
29446,19/12/2012,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29236,20/12/2012,Flexor High-Flex Ansel Guiding Sheath,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
29507,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29508,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29532,5/02/2013,UMI-Loc Lockable Uterine Manipulator Injector,William A Cook Australia Pty Ltd,Catheter Research Inc,170158,"Cannula, uterine, manipulation/injection"
30089,18/02/2013,Catheter PICC 3.0ga 50cm,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
