Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28209,28/08/2012,M7 Compact Hospital Bed (WA Bogie),Howard Wright Australia Pty Ltd,Howard Wright Limited (NZ),134450,"Bed, (specify)"
29037,1/11/2012,Swanson,Stryker Australia Pty Ltd,Wright Medical Technology Inc,131003,"Prosthesis, internal, joint, digit"
29513,17/12/2012,Repiphysis,MicroPort Orthopedics Pty Ltd,Wright Medical Technology Inc,95686,"Prosthesis, internal, joint, custom-made"
30117,15/04/2013,Universal 2 Total Wrist Implant System,Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,177632,"Prosthesis, internal, joint, wrist, total"
31599,26/07/2013,i-FACTOR Putty,Life Healthcare Pty Ltd,Cerapedics Inc,169831,"Bone matrix implant, artificial"
,,"Osteoset Pellets - Bone matrix implant, artificial",Wright Medical Australia Pty Ltd,Wright Medical Technology Inc,171899,"Bone matrix implant, synthetic"
31573,10/09/2013,Pyrocardan - TMC resurfacing implant,Wright Medical Australia Pty Ltd,Tornier SAS,94262,"Prosthesis, internal, joint, wrist, carpal component"
32829,28/03/2014,PROFEMUR Modular Femoral Neck,MicroPort Orthopedics Pty Ltd,Wright Medical Technology Inc,154282,"Prosthesis, internal, joint, hip, femoral component"
30806,11/09/2014,M7 Trauma,Howard Wright Australia Pty Ltd,Howard Wright Limited (NZ),134450,"Bed, (specify)"
33077,2/02/2015,Biolox hip Prosthesis,MicroPort Orthopedics Pty Ltd,Wright Medical Technology Inc,154282,"Prosthesis, internal, joint, hip, femoral component"
33079,2/02/2015,Biolox Ceramic Insert,MicroPort Orthopedics Pty Ltd,Wright Medical Technology Inc,196524,Acetabulum prosthesis
36888,27/03/2015,Darco Modular Forefoot System plate and screws,Wright Medical Australia Pty Ltd,Biotech International,118786,"Fixation plate, fracture-healing, non-biodegradable."
36702,25/05/2015,Aequalis Glenoid & Reversed Pin,Wright Medical Australia Pty Ltd,Tornier SAS,220271,"Fixation device, internal, wire"
37459,15/06/2015,Aequalis Reversed 3.5mm hexagonal screwdriver tip,Wright Medical Australia Pty Ltd,Tornier SAS,112287,Prosthetic joint implantation kit
39022,8/01/2016,"Advantim Prosthesis, internal, joint, knee, total",Wright Medical Australia Pty Ltd,Wright Medical Technology Inc,92519,"Prosthesis, internal, joint, knee, total"
39700,4/02/2016,Universal2 Total Wrist Implant System,Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,177632,"Prosthesis, internal, joint, wrist, total"
39987,17/02/2016,Evolution eMP - Uncoated knee femur prosthesis,MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,225086,Uncoated knee femur prosthesis
,,"eMP CS Tibial Inserts - Uncoated knee tibia prosthesis, metallic",Wright Medical Australia Pty Ltd,MicroPort Orthopedics Inc,234318,"Uncoated knee tibia prosthesis, metallic"
,,"eMP Tibial Base Keeled Non Porous - Uncoated knee tibia prosthesis, metallic",Wright Medical Australia Pty Ltd,MicroPort Orthopedics Inc,234319,"Uncoated knee tibia prosthesis, metallic"
38273,25/02/2016,Latitude Elbow Ulnar Cap - Metal-backed elbow ulna prosthesis,Wright Medical Australia Pty Ltd,Tornier Inc,201352,Metal-backed elbow ulna prosthesis
40621,7/04/2016,Dynasty A-class Poly Liner - Non-constrained polyethylene acetabular liner,MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,272312,Non-constrained polyethylene acetabular liner
,,BIOLOX Delta Ceramic Femoral Heads 12/14 taper - Ceramic femoral head prosthesis,Wright Medical Australia Pty Ltd,MicroPort Orthopedics Inc,240574,"Prosthesis, internal, joint, hip, femoral component"
44521,18/01/2017,Double/Triple Wrist Art/Trans CVP 180CM,ITL Australia Pty Ltd,Argon Medical Devices Inc,146547,"Catheter, arterial"
46153,8/06/2017,"MOPYC - Prosthesis, internal, joint, elbow, radial component",Wright Medical Australia Pty Ltd,Tornier SAS,94231,"Prosthesis, internal, joint, elbow, radial component"
46148,9/06/2017,"MOPYC - Prosthesis, internal, joint, elbow, radial component",Wright Medical Australia Pty Ltd,Tornier SAS,94231,"Prosthesis, internal, joint, elbow, radial component"
46936,13/07/2017,Blood Pressure Monitor,Australian Sales and Trade Services (ASTS),Andon Health Co Ltd,217021,"Automatic-inflation electronic sphygmomanometer, portable, arm/wrist"
47235,3/08/2017,Aequalis Ascend Flex,Wright Medical Australia Pty Ltd,Tornier SAS,218732,Coated shoulder humeral stem prosthesis
45742,3/11/2017,Dynasty - Non-constrained polyethylene acetabular liner,MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,272312,Non-constrained polyethylene acetabular liner
