CODE,METS,MAJOR HEADING,SPECIFIC ACTIVITIES,
1003,14,bicycling,"bicycling, mountain, uphill, vigorous",
1004,16,bicycling,"bicycling, mountain, competitive, racing",
1008,8.5,bicycling,"bicycling, BMX",
1009,8.5,bicycling,"bicycling, mountain, general",
1010,4,bicycling,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",
1011,6.8,bicycling,"bicycling, to/from work, self selected pace",
1013,5.8,bicycling,"bicycling, on dirt or farm road, moderate pace",
1015,7.5,bicycling,"bicycling, general",
1018,3.5,bicycling,"bicycling, leisure, 5.5 mph",
1019,5.8,bicycling,"bicycling, leisure, 9.4 mph",
1020,6.8,bicycling,"bicycling, 10-11.9 mph, leisure, slow, light effort",
1030,8,bicycling,"bicycling, 12-13.9 mph, leisure, moderate effort",
1040,10,bicycling,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",
1050,12,bicycling,"bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general",
1060,15.8,bicycling,"bicycling, > 20 mph, racing, not drafting",
1065,8.5,bicycling,"bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",
1066,9,bicycling,"bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",
1070,5,bicycling,unicycling,
2001,2.3,conditioning exercise,"activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)",
2003,3.8,conditioning exercise,"activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)",
2005,7.2,conditioning exercise,"activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort",
2008,5,conditioning exercise,"army type obstacle course exercise, boot camp training program",
2010,7,conditioning exercise,"bicycling, stationary, general",
2011,3.5,conditioning exercise,"bicycling, stationary, 30-50 watts, very light to light effort",
2012,6.8,conditioning exercise,"bicycling, stationary, 90-100 watts, moderate to vigorous effort",
2013,8.8,conditioning exercise,"bicycling, stationary, 101-160 watts, vigorous effort",
2014,11,conditioning exercise,"bicycling, stationary, 161-200 watts, vigorous effort",
2015,14,conditioning exercise,"bicycling, stationary, 201-270 watts, very vigorous effort",
2017,4.8,conditioning exercise,"bicycling, stationary, 51-89 watts, light-to-moderate effort",
2019,8.5,conditioning exercise,"bicycling, stationary, RPM/Spin bike class",
2020,8,conditioning exercise,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",
2022,3.8,conditioning exercise,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",
2024,2.8,conditioning exercise,"calisthenics (e.g., situps, abdominal crunches), light effort",
2030,3.5,conditioning exercise,"calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)",
2035,4.3,conditioning exercise,"circuit training, moderate effort",
2040,8,conditioning exercise,"circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity",
2045,3.5,conditioning exercise,TM,
,,,Curves  exercise routines in women,
2048,5,conditioning exercise,"Elliptical trainer, moderate effort",
2050,6,conditioning exercise,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort (Taylor Code 210)",
2052,5,conditioning exercise,"resistance (weight) training, squats , slow or explosive effort",
2054,3.5,conditioning exercise,"resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance",
2060,5.5,conditioning exercise,"health club exercise, general (Taylor Code 160)",
2061,5,conditioning exercise,"health club exercise classes, general, gym/weight training combined in one visit",
